epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2928.5,0.54629,0.31887,0.99895,0.95948,0.97755,0.97901,0.83025,0.63294,0.34899,1.06377,0.0004754,0.0004754,0.0004754
79,2950.28,0.53852,0.31325,0.99572,0.95657,0.96789,0.98302,0.83315,0.62911,0.33851,1.07662,0.0004556,0.0004556,0.0004556
80,2972.27,0.53786,0.31001,0.99643,0.9674,0.95287,0.97158,0.82503,0.627,0.36311,1.05918,0.0004358,0.0004358,0.0004358
81,2994.23,0.53693,0.30828,0.99145,0.95084,0.97602,0.98082,0.84229,0.60481,0.30949,1.04938,0.000416,0.000416,0.000416
82,3016.14,0.5216,0.29861,0.98653,0.96591,0.9633,0.98307,0.84694,0.61406,0.32228,1.06258,0.0003962,0.0003962,0.0003962
83,3037.98,0.52466,0.31417,0.99221,0.97049,0.9633,0.98218,0.84479,0.62578,0.33006,1.06142,0.0003764,0.0003764,0.0003764
84,3059.79,0.51647,0.30402,0.98444,0.9627,0.9633,0.98227,0.84573,0.60391,0.32374,1.04788,0.0003566,0.0003566,0.0003566
85,3081.69,0.51097,0.2959,0.98287,0.9632,0.96789,0.97823,0.84358,0.59592,0.31679,1.03503,0.0003368,0.0003368,0.0003368
86,3103.73,0.51145,0.29841,0.98229,0.96596,0.95872,0.9783,0.8362,0.61243,0.32434,1.04429,0.000317,0.000317,0.000317
87,3125.51,0.51102,0.30156,0.98474,0.96755,0.95754,0.98174,0.84707,0.59018,0.32023,1.02839,0.0002972,0.0002972,0.0002972
88,3147.35,0.49668,0.29539,0.97228,0.96773,0.96293,0.98288,0.85106,0.59221,0.30021,1.03737,0.0002774,0.0002774,0.0002774
89,3169.01,0.49672,0.29447,0.97351,0.96337,0.96523,0.98374,0.84543,0.5966,0.30756,1.04288,0.0002576,0.0002576,0.0002576
